run,success,final_mass,rank,elapsed_seconds,return_code,error
1,True,24.987452339329348,2,38.741462,0,
2,True,2.4645196497347457,4,38.776434,0,
3,True,68.43943002819988,1,38.771495,0,
4,True,2.7890916503391145,3,36.370623,0,
5,True,25.937292288201583,3,36.126157,0,
6,True,1.315163312905126,6,34.531064,0,
7,True,31.82197542609678,2,36.40744,0,
8,True,60.90167520499119,1,35.816685,0,
9,True,15.376821831461797,2,32.307673,0,
10,True,6.104859442849344,3,33.766733,0,
11,True,2.0845220589069537,4,32.893082,0,
12,True,82.99054617721552,1,36.433208,0,
13,True,51.4195324976088,1,34.045494,0,
14,True,8.334778565781546,3,35.275702,0,
15,True,13.36432061446522,4,36.676685,0,
16,True,25.84999403112817,2,34.950479,0,
17,True,1.661860823429098,4,35.542934,0,
18,True,61.91012160406968,1,36.353371,0,
19,True,1.8019542971853888,3,37.836102,0,
20,True,30.277571613618893,2,34.10566,0,
21,True,59.655012165636,1,34.149466,0,
22,True,27.48911539418041,2,34.263244,0,
23,True,45.680776727170084,1,33.910604,0,
24,True,60.25451367484342,1,35.268242,0,
25,True,38.722405215270044,2,35.196798,0,
26,True,1.7063638984757417,4,31.297193,0,
27,True,1.517829987651255,6,32.779733,0,
28,True,1.5177644873247074,4,36.516322,0,
29,True,74.74016253001518,1,42.052295,0,
30,True,30.87383694792978,2,55.088524,0,
31,True,25.65018265900426,3,83.729141,0,
32,True,0.0,7,95.001302,0,
33,True,38.69685546132482,2,99.136031,0,
34,True,0.9427158197282195,6,93.598145,0,
35,True,48.65540736364008,1,81.972913,0,
36,True,30.253934740012777,2,67.833968,0,
37,True,61.86286005216273,1,69.864892,0,
38,True,43.151690556664136,1,57.359505,0,
