trial,state,value,expected_mass,failure_rate,params
0,FAIL,,,,"{""CHASE_ACQUIRE_RANGE_MULT"": 8.0, ""CHASE_BLOCK_OFFSET_MULT"": 0.8, ""CHASE_DIRECT_RANGE_MULT"": 3.0, ""CHASE_DISTANCE_WEIGHT"": 0.3, ""CHASE_ETA_WEIGHT"": 2.0, ""CHASE_LOCK_BONUS"": 18.0, ""CHASE_LOCK_TICKS"": 160, ""CHASE_MAX_INTERCEPT_TICKS"": 12.0, ""CHASE_VELOCITY_NEW_WEIGHT"": 0.5, ""CHASE_WALL_HORIZON"": 30.0, ""ESCAPE_DIRECT_RANGE_MULT"": 6.0, ""ESCAPE_HARD_MARGIN"": 0.15, ""ESCAPE_MOVE_WEIGHT"": 180.0, ""ESCAPE_SPLIT_REACH_BUFFER"": 1.05, ""ESCAPE_VIRUS_SHIELD_WEIGHT"": 650.0, ""ESCAPE_WALL_WEIGHT"": 300.0, ""FOOD_CLUSTER_RADIUS"": 4.5, ""FOOD_CLUSTER_WEIGHT"": 1.2, ""FOOD_DISTANCE_POWER"": 1.45, ""FOOD_LOCK_TICKS"": 14, ""MAX_ENEMIES"": 24, ""NUM_DIRECTIONS"": 16, ""ORDER_PROFILE"": ""escape_first"", ""ROAM_CENTER_WEIGHT"": 1.0, ""ROAM_MOMENTUM_WEIGHT"": 0.35, ""SAFETY_OWN_PIECES"": 3, ""SPLIT_CAPTURE_WEIGHT"": 8.0, ""SPLIT_DEPTH_COST"": 2.5, ""SPLIT_EXTERNAL_RISK_WEIGHT"": 1.25, ""SPLIT_FRAGMENT_COST"": 0.18, ""SPLIT_LARGER_OWNER_RATIO"": 1.02, ""SPLIT_MIN_UTILITY"": 2.0, ""SPLIT_PLAN_WAIT_TICKS"": 5, ""SPLIT_REACH_RELIABILITY"": 0.76, ""STEP_RADIUS_MULT"": 1.5, ""VIRUS_ENEMY_RANGE_MULT"": 6.0, ""VIRUS_MANUAL_SPLIT_RISK_COST"": 2.0, ""VIRUS_MANUAL_SPLIT_TIME_BONUS"": 3.0, ""VIRUS_MAX_FARM_MASS"": 180.0}"
1,FAIL,,,,"{""CHASE_ACQUIRE_RANGE_MULT"": 7.401882874191935, ""CHASE_BLOCK_OFFSET_MULT"": 0.7299190955177411, ""CHASE_DIRECT_RANGE_MULT"": 4.910651480215255, ""CHASE_DISTANCE_WEIGHT"": 0.19921428490638016, ""CHASE_ETA_WEIGHT"": 2.1374360330097932, ""CHASE_LOCK_BONUS"": 4.967052485765858, ""CHASE_LOCK_TICKS"": 49, ""CHASE_MAX_INTERCEPT_TICKS"": 7.395959528564701, ""CHASE_VELOCITY_NEW_WEIGHT"": 0.3521108207357833, ""CHASE_WALL_HORIZON"": 33.33286078360077, ""ESCAPE_DIRECT_RANGE_MULT"": 5.431260601528295, ""ESCAPE_HARD_MARGIN"": 0.11902691280606743, ""ESCAPE_MOVE_WEIGHT"": 104.72775833449676, ""ESCAPE_SPLIT_REACH_BUFFER"": 0.9305495137967368, ""ESCAPE_VIRUS_SHIELD_WEIGHT"": 172.50021473981053, ""ESCAPE_WALL_WEIGHT"": 230.72542805766582, ""FOOD_CLUSTER_RADIUS"": 3.952602487149094, ""FOOD_CLUSTER_WEIGHT"": 2.404196024950627, ""FOOD_DISTANCE_POWER"": 1.997985019487105, ""FOOD_LOCK_TICKS"": 24, ""MAX_ENEMIES"": 18, ""NUM_DIRECTIONS"": 12, ""ORDER_PROFILE"": ""virus_before_chase"", ""ROAM_CENTER_WEIGHT"": 0.6117930620472886, ""ROAM_MOMENTUM_WEIGHT"": 0.9552416863434892, ""SAFETY_OWN_PIECES"": 2, ""SPLIT_CAPTURE_WEIGHT"": 13.699065712485408, ""SPLIT_DEPTH_COST"": 1.0546484217096643, ""SPLIT_EXTERNAL_RISK_WEIGHT"": 0.540950346412845, ""SPLIT_FRAGMENT_COST"": 0.050786866082322135, ""SPLIT_LARGER_OWNER_RATIO"": 1.1273452321172448, ""SPLIT_MIN_UTILITY"": 7.91188483543557, ""SPLIT_PLAN_WAIT_TICKS"": 3, ""SPLIT_REACH_RELIABILITY"": 0.8071969231107132, ""STEP_RADIUS_MULT"": 1.4411966337631568, ""VIRUS_ENEMY_RANGE_MULT"": 5.657212147566214, ""VIRUS_MANUAL_SPLIT_RISK_COST"": 0.34179033136292536, ""VIRUS_MANUAL_SPLIT_TIME_BONUS"": 0.605612421834025, ""VIRUS_MAX_FARM_MASS"": 53.458373927610076}"
2,COMPLETE,13.44483304194839,14.628680272405242,0.0,"{""CHASE_ACQUIRE_RANGE_MULT"": 7.401882874191935, ""CHASE_BLOCK_OFFSET_MULT"": 0.7299190955177411, ""CHASE_DIRECT_RANGE_MULT"": 4.910651480215255, ""CHASE_DISTANCE_WEIGHT"": 0.19921428490638016, ""CHASE_ETA_WEIGHT"": 2.1374360330097932, ""CHASE_LOCK_BONUS"": 4.967052485765858, ""CHASE_LOCK_TICKS"": 49, ""CHASE_MAX_INTERCEPT_TICKS"": 7.395959528564701, ""CHASE_VELOCITY_NEW_WEIGHT"": 0.3521108207357833, ""CHASE_WALL_HORIZON"": 33.33286078360077, ""ESCAPE_DIRECT_RANGE_MULT"": 5.431260601528295, ""ESCAPE_HARD_MARGIN"": 0.11902691280606743, ""ESCAPE_MOVE_WEIGHT"": 104.72775833449676, ""ESCAPE_SPLIT_REACH_BUFFER"": 0.9305495137967368, ""ESCAPE_VIRUS_SHIELD_WEIGHT"": 172.50021473981053, ""ESCAPE_WALL_WEIGHT"": 230.72542805766582, ""FOOD_CLUSTER_RADIUS"": 3.952602487149094, ""FOOD_CLUSTER_WEIGHT"": 2.404196024950627, ""FOOD_DISTANCE_POWER"": 1.997985019487105, ""FOOD_LOCK_TICKS"": 24, ""MAX_ENEMIES"": 18, ""NUM_DIRECTIONS"": 12, ""ORDER_PROFILE"": ""virus_before_chase"", ""ROAM_CENTER_WEIGHT"": 0.6117930620472886, ""ROAM_MOMENTUM_WEIGHT"": 0.9552416863434892, ""SAFETY_OWN_PIECES"": 2, ""SPLIT_CAPTURE_WEIGHT"": 13.699065712485408, ""SPLIT_DEPTH_COST"": 1.0546484217096643, ""SPLIT_EXTERNAL_RISK_WEIGHT"": 0.540950346412845, ""SPLIT_FRAGMENT_COST"": 0.050786866082322135, ""SPLIT_LARGER_OWNER_RATIO"": 1.1273452321172448, ""SPLIT_MIN_UTILITY"": 7.91188483543557, ""SPLIT_PLAN_WAIT_TICKS"": 3, ""SPLIT_REACH_RELIABILITY"": 0.8071969231107132, ""STEP_RADIUS_MULT"": 1.4411966337631568, ""VIRUS_ENEMY_RANGE_MULT"": 5.657212147566214, ""VIRUS_MANUAL_SPLIT_RISK_COST"": 0.34179033136292536, ""VIRUS_MANUAL_SPLIT_TIME_BONUS"": 0.605612421834025, ""VIRUS_MAX_FARM_MASS"": 53.458373927610076}"
3,COMPLETE,19.98426388606999,20.45623942415861,0.0,"{""CHASE_ACQUIRE_RANGE_MULT"": 8.203860169424601, ""CHASE_BLOCK_OFFSET_MULT"": 0.3027918265486581, ""CHASE_DIRECT_RANGE_MULT"": 3.814697387922017, ""CHASE_DISTANCE_WEIGHT"": 0.05584788037268991, ""CHASE_ETA_WEIGHT"": 2.9844121109125625, ""CHASE_LOCK_BONUS"": 6.306071438733101, ""CHASE_LOCK_TICKS"": 87, ""CHASE_MAX_INTERCEPT_TICKS"": 13.209671915117996, ""CHASE_VELOCITY_NEW_WEIGHT"": 0.4618857169584186, ""CHASE_WALL_HORIZON"": 23.899318267092298, ""ESCAPE_DIRECT_RANGE_MULT"": 5.110046671954274, ""ESCAPE_HARD_MARGIN"": 0.15897432904422337, ""ESCAPE_MOVE_WEIGHT"": 227.5082751795331, ""ESCAPE_SPLIT_REACH_BUFFER"": 1.01289227274713, ""ESCAPE_VIRUS_SHIELD_WEIGHT"": 800.3038323761967, ""ESCAPE_WALL_WEIGHT"": 507.16672827760993, ""FOOD_CLUSTER_RADIUS"": 4.444807694919457, ""FOOD_CLUSTER_WEIGHT"": 0.79216574730835, ""FOOD_DISTANCE_POWER"": 1.228116785531331, ""FOOD_LOCK_TICKS"": 20, ""MAX_ENEMIES"": 24, ""NUM_DIRECTIONS"": 12, ""ORDER_PROFILE"": ""virus_before_chase"", ""ROAM_CENTER_WEIGHT"": 0.2996627510870938, ""ROAM_MOMENTUM_WEIGHT"": 0.08376649919282757, ""SAFETY_OWN_PIECES"": 2, ""SPLIT_CAPTURE_WEIGHT"": 5.898539305208043, ""SPLIT_DEPTH_COST"": 2.15495774921998, ""SPLIT_EXTERNAL_RISK_WEIGHT"": 2.2630692148126634, ""SPLIT_FRAGMENT_COST"": 0.10110810339498497, ""SPLIT_LARGER_OWNER_RATIO"": 0.9759155709820515, ""SPLIT_MIN_UTILITY"": 7.884803836677849, ""SPLIT_PLAN_WAIT_TICKS"": 3, ""SPLIT_REACH_RELIABILITY"": 0.8328344473020667, ""STEP_RADIUS_MULT"": 1.355153339321755, ""VIRUS_ENEMY_RANGE_MULT"": 7.778865358244969, ""VIRUS_MANUAL_SPLIT_RISK_COST"": 1.6387309180112488, ""VIRUS_MANUAL_SPLIT_TIME_BONUS"": 1.6889806830168816, ""VIRUS_MAX_FARM_MASS"": 46.43442683139944}"
4,COMPLETE,13.117262874125446,13.384995786560248,0.0,"{""CHASE_ACQUIRE_RANGE_MULT"": 13.860999009824575, ""CHASE_BLOCK_OFFSET_MULT"": 0.9755163389890179, ""CHASE_DIRECT_RANGE_MULT"": 2.5853782823672535, ""CHASE_DISTANCE_WEIGHT"": 0.1276058672039947, ""CHASE_ETA_WEIGHT"": 5.388307072767026, ""CHASE_LOCK_BONUS"": 47.541801609968424, ""CHASE_LOCK_TICKS"": 49, ""CHASE_MAX_INTERCEPT_TICKS"": 11.63486581284897, ""CHASE_VELOCITY_NEW_WEIGHT"": 0.29656518698358614, ""CHASE_WALL_HORIZON"": 25.07167944616554, ""ESCAPE_DIRECT_RANGE_MULT"": 5.650819759373469, ""ESCAPE_HARD_MARGIN"": 0.12317733863805108, ""ESCAPE_MOVE_WEIGHT"": 89.31186698109718, ""ESCAPE_SPLIT_REACH_BUFFER"": 1.0000398372052817, ""ESCAPE_VIRUS_SHIELD_WEIGHT"": 172.04557115251973, ""ESCAPE_WALL_WEIGHT"": 173.32968246499226, ""FOOD_CLUSTER_RADIUS"": 3.473819196256884, ""FOOD_CLUSTER_WEIGHT"": 1.9252914154983798, ""FOOD_DISTANCE_POWER"": 0.8021830631725747, ""FOOD_LOCK_TICKS"": 22, ""MAX_ENEMIES"": 18, ""NUM_DIRECTIONS"": 12, ""ORDER_PROFILE"": ""split_first"", ""ROAM_CENTER_WEIGHT"": 0.6416401635475989, ""ROAM_MOMENTUM_WEIGHT"": 0.32166998649628203, ""SAFETY_OWN_PIECES"": 2, ""SPLIT_CAPTURE_WEIGHT"": 3.9153867000570197, ""SPLIT_DEPTH_COST"": 4.282245509952912, ""SPLIT_EXTERNAL_RISK_WEIGHT"": 2.6193648132699323, ""SPLIT_FRAGMENT_COST"": 0.4468919492732693, ""SPLIT_LARGER_OWNER_RATIO"": 1.1121654942573715, ""SPLIT_MIN_UTILITY"": 9.563243793910843, ""SPLIT_PLAN_WAIT_TICKS"": 5, ""SPLIT_REACH_RELIABILITY"": 0.7831518693374502, ""STEP_RADIUS_MULT"": 1.5250974960777341, ""VIRUS_ENEMY_RANGE_MULT"": 3.8799704828088926, ""VIRUS_MANUAL_SPLIT_RISK_COST"": 0.2892610515096877, ""VIRUS_MANUAL_SPLIT_TIME_BONUS"": 1.7760512395808616, ""VIRUS_MAX_FARM_MASS"": 61.957795141137574}"
5,COMPLETE,18.780103985775074,19.3414646891743,0.0,"{""CHASE_ACQUIRE_RANGE_MULT"": 11.957470406565633, ""CHASE_BLOCK_OFFSET_MULT"": 0.4887472721650849, ""CHASE_DIRECT_RANGE_MULT"": 2.426610462895783, ""CHASE_DISTANCE_WEIGHT"": 0.8162742363149257, ""CHASE_ETA_WEIGHT"": 0.32222210594844347, ""CHASE_LOCK_BONUS"": 13.904966251458777, ""CHASE_LOCK_TICKS"": 64, ""CHASE_MAX_INTERCEPT_TICKS"": 16.778361399289185, ""CHASE_VELOCITY_NEW_WEIGHT"": 0.22208959816380067, ""CHASE_WALL_HORIZON"": 20.564274215117614, ""ESCAPE_DIRECT_RANGE_MULT"": 4.611035303471441, ""ESCAPE_HARD_MARGIN"": 0.2874703549408671, ""ESCAPE_MOVE_WEIGHT"": 169.50607057868788, ""ESCAPE_SPLIT_REACH_BUFFER"": 1.0065697632531656, ""ESCAPE_VIRUS_SHIELD_WEIGHT"": 173.74614084613626, ""ESCAPE_WALL_WEIGHT"": 239.42200788854052, ""FOOD_CLUSTER_RADIUS"": 3.6479824580146563, ""FOOD_CLUSTER_WEIGHT"": 0.2672569690723214, ""FOOD_DISTANCE_POWER"": 1.491235762659705, ""FOOD_LOCK_TICKS"": 8, ""MAX_ENEMIES"": 18, ""NUM_DIRECTIONS"": 12, ""ORDER_PROFILE"": ""escape_then_split"", ""ROAM_CENTER_WEIGHT"": 2.495692861572344, ""ROAM_MOMENTUM_WEIGHT"": 0.3508529674427994, ""SAFETY_OWN_PIECES"": 2, ""SPLIT_CAPTURE_WEIGHT"": 3.7430279341481074, ""SPLIT_DEPTH_COST"": 6.1059989158015515, ""SPLIT_EXTERNAL_RISK_WEIGHT"": 0.22359687938555636, ""SPLIT_FRAGMENT_COST"": 0.02338814943770239, ""SPLIT_LARGER_OWNER_RATIO"": 1.1125237987510663, ""SPLIT_MIN_UTILITY"": 7.53606638096848, ""SPLIT_PLAN_WAIT_TICKS"": 9, ""SPLIT_REACH_RELIABILITY"": 0.8972091710159412, ""STEP_RADIUS_MULT"": 1.320968972409135, ""VIRUS_ENEMY_RANGE_MULT"": 5.63653812730796, ""VIRUS_MANUAL_SPLIT_RISK_COST"": 0.39409846248134894, ""VIRUS_MANUAL_SPLIT_TIME_BONUS"": 1.2107260017443313, ""VIRUS_MAX_FARM_MASS"": 70.98310382019001}"
6,COMPLETE,22.023186750032863,22.1467827390235,0.0,"{""CHASE_ACQUIRE_RANGE_MULT"": 5.122940795017887, ""CHASE_BLOCK_OFFSET_MULT"": 1.414335406915543, ""CHASE_DIRECT_RANGE_MULT"": 1.8565344738710232, ""CHASE_DISTANCE_WEIGHT"": 0.8506040518251468, ""CHASE_ETA_WEIGHT"": 2.070745418466988, ""CHASE_LOCK_BONUS"": 33.11708557669392, ""CHASE_LOCK_TICKS"": 89, ""CHASE_MAX_INTERCEPT_TICKS"": 6.431495570323396, ""CHASE_VELOCITY_NEW_WEIGHT"": 0.7942801874776233, ""CHASE_WALL_HORIZON"": 25.82324744569012, ""ESCAPE_DIRECT_RANGE_MULT"": 5.684386276596156, ""ESCAPE_HARD_MARGIN"": 0.13793899012294686, ""ESCAPE_MOVE_WEIGHT"": 102.93398044506196, ""ESCAPE_SPLIT_REACH_BUFFER"": 1.0583586117196708, ""ESCAPE_VIRUS_SHIELD_WEIGHT"": 327.4402091976159, ""ESCAPE_WALL_WEIGHT"": 228.0989568822693, ""FOOD_CLUSTER_RADIUS"": 6.73372388310355, ""FOOD_CLUSTER_WEIGHT"": 0.6025810910383864, ""FOOD_DISTANCE_POWER"": 1.0131218897567138, ""FOOD_LOCK_TICKS"": 20, ""MAX_ENEMIES"": 18, ""NUM_DIRECTIONS"": 16, ""ORDER_PROFILE"": ""escape_first"", ""ROAM_CENTER_WEIGHT"": 0.21126582800512542, ""ROAM_MOMENTUM_WEIGHT"": 0.427884619571358, ""SAFETY_OWN_PIECES"": 3, ""SPLIT_CAPTURE_WEIGHT"": 13.943091780037705, ""SPLIT_DEPTH_COST"": 2.7392359710304404, ""SPLIT_EXTERNAL_RISK_WEIGHT"": 0.4727011870190169, ""SPLIT_FRAGMENT_COST"": 0.08145597968532146, ""SPLIT_LARGER_OWNER_RATIO"": 1.2889923743890543, ""SPLIT_MIN_UTILITY"": 2.7096993838857193, ""SPLIT_PLAN_WAIT_TICKS"": 7, ""SPLIT_REACH_RELIABILITY"": 0.8571682723540082, ""STEP_RADIUS_MULT"": 1.6411191739550817, ""VIRUS_ENEMY_RANGE_MULT"": 5.628119371463857, ""VIRUS_MANUAL_SPLIT_RISK_COST"": 0.3982004589552229, ""VIRUS_MANUAL_SPLIT_TIME_BONUS"": 5.746727744610155, ""VIRUS_MAX_FARM_MASS"": 84.08506614981822}"
7,COMPLETE,19.39027070019811,19.032470586285353,0.0,"{""CHASE_ACQUIRE_RANGE_MULT"": 11.248875481799255, ""CHASE_BLOCK_OFFSET_MULT"": 1.1070411997048146, ""CHASE_DIRECT_RANGE_MULT"": 3.291261623676238, ""CHASE_DISTANCE_WEIGHT"": 0.532446625373434, ""CHASE_ETA_WEIGHT"": 1.4420236258930528, ""CHASE_LOCK_BONUS"": 33.943610661793215, ""CHASE_LOCK_TICKS"": 116, ""CHASE_MAX_INTERCEPT_TICKS"": 5.544906274293516, ""CHASE_VELOCITY_NEW_WEIGHT"": 0.2749902421475168, ""CHASE_WALL_HORIZON"": 28.70369537223532, ""ESCAPE_DIRECT_RANGE_MULT"": 4.927370235572566, ""ESCAPE_HARD_MARGIN"": 0.22076346604661837, ""ESCAPE_MOVE_WEIGHT"": 80.28460262081103, ""ESCAPE_SPLIT_REACH_BUFFER"": 1.0732423719007333, ""ESCAPE_VIRUS_SHIELD_WEIGHT"": 252.1621918813267, ""ESCAPE_WALL_WEIGHT"": 558.7094095168189, ""FOOD_CLUSTER_RADIUS"": 5.913845471358776, ""FOOD_CLUSTER_WEIGHT"": 0.3457084695473828, ""FOOD_DISTANCE_POWER"": 0.9776872463591139, ""FOOD_LOCK_TICKS"": 5, ""MAX_ENEMIES"": 24, ""NUM_DIRECTIONS"": 12, ""ORDER_PROFILE"": ""split_first"", ""ROAM_CENTER_WEIGHT"": 1.3801349010222668, ""ROAM_MOMENTUM_WEIGHT"": 0.10125914891890836, ""SAFETY_OWN_PIECES"": 2, ""SPLIT_CAPTURE_WEIGHT"": 9.002093640987704, ""SPLIT_DEPTH_COST"": 0.7647702605953913, ""SPLIT_EXTERNAL_RISK_WEIGHT"": 1.5150931225986919, ""SPLIT_FRAGMENT_COST"": 0.04701918571735163, ""SPLIT_LARGER_OWNER_RATIO"": 1.057822018868857, ""SPLIT_MIN_UTILITY"": 2.6633911709954674, ""SPLIT_PLAN_WAIT_TICKS"": 8, ""SPLIT_REACH_RELIABILITY"": 0.835794217439465, ""STEP_RADIUS_MULT"": 1.6799620156073192, ""VIRUS_ENEMY_RANGE_MULT"": 6.307396586875889, ""VIRUS_MANUAL_SPLIT_RISK_COST"": 0.5399706324756838, ""VIRUS_MANUAL_SPLIT_TIME_BONUS"": 3.021751541156912, ""VIRUS_MAX_FARM_MASS"": 72.1487204833514}"
8,COMPLETE,20.339786661947024,21.227237765575005,0.0,"{""CHASE_ACQUIRE_RANGE_MULT"": 12.446963487588997, ""CHASE_BLOCK_OFFSET_MULT"": 0.604843356953072, ""CHASE_DIRECT_RANGE_MULT"": 1.6724041796464353, ""CHASE_DISTANCE_WEIGHT"": 0.05422448251042846, ""CHASE_ETA_WEIGHT"": 0.27404207703819505, ""CHASE_LOCK_BONUS"": 8.97741566802048, ""CHASE_LOCK_TICKS"": 87, ""CHASE_MAX_INTERCEPT_TICKS"": 16.382119649180225, ""CHASE_VELOCITY_NEW_WEIGHT"": 0.789620386385578, ""CHASE_WALL_HORIZON"": 33.88096173296752, ""ESCAPE_DIRECT_RANGE_MULT"": 6.842052151493522, ""ESCAPE_HARD_MARGIN"": 0.2933369481987569, ""ESCAPE_MOVE_WEIGHT"": 117.97059132142181, ""ESCAPE_SPLIT_REACH_BUFFER"": 1.0207904297303383, ""ESCAPE_VIRUS_SHIELD_WEIGHT"": 502.6059643865671, ""ESCAPE_WALL_WEIGHT"": 183.8602015428129, ""FOOD_CLUSTER_RADIUS"": 6.192119709785093, ""FOOD_CLUSTER_WEIGHT"": 0.27497118014312993, ""FOOD_DISTANCE_POWER"": 1.7510277257718418, ""FOOD_LOCK_TICKS"": 23, ""MAX_ENEMIES"": 21, ""NUM_DIRECTIONS"": 12, ""ORDER_PROFILE"": ""escape_then_split"", ""ROAM_CENTER_WEIGHT"": 1.0180085288870253, ""ROAM_MOMENTUM_WEIGHT"": 1.0003345504638053, ""SAFETY_OWN_PIECES"": 3, ""SPLIT_CAPTURE_WEIGHT"": 6.586032906210995, ""SPLIT_DEPTH_COST"": 3.8585090394559116, ""SPLIT_EXTERNAL_RISK_WEIGHT"": 0.3642723229643688, ""SPLIT_FRAGMENT_COST"": 0.03703720153208904, ""SPLIT_LARGER_OWNER_RATIO"": 1.1370510079917224, ""SPLIT_MIN_UTILITY"": 8.475067917576586, ""SPLIT_PLAN_WAIT_TICKS"": 4, ""SPLIT_REACH_RELIABILITY"": 0.7170424344765575, ""STEP_RADIUS_MULT"": 1.2994099463870623, ""VIRUS_ENEMY_RANGE_MULT"": 8.674914095481295, ""VIRUS_MANUAL_SPLIT_RISK_COST"": 0.4952101140137805, ""VIRUS_MANUAL_SPLIT_TIME_BONUS"": 0.9165797971313738, ""VIRUS_MAX_FARM_MASS"": 212.8552535502304}"
9,COMPLETE,8.842185920582073,9.36301076720336,0.0,"{""CHASE_ACQUIRE_RANGE_MULT"": 7.585990594385918, ""CHASE_BLOCK_OFFSET_MULT"": 0.6762263677760164, ""CHASE_DIRECT_RANGE_MULT"": 3.879422505685062, ""CHASE_DISTANCE_WEIGHT"": 0.8723607271103698, ""CHASE_ETA_WEIGHT"": 3.230730992119342, ""CHASE_LOCK_BONUS"": 8.031570609883556, ""CHASE_LOCK_TICKS"": 164, ""CHASE_MAX_INTERCEPT_TICKS"": 17.515365340281214, ""CHASE_VELOCITY_NEW_WEIGHT"": 0.728408131516286, ""CHASE_WALL_HORIZON"": 39.831931928073665, ""ESCAPE_DIRECT_RANGE_MULT"": 5.463348412253924, ""ESCAPE_HARD_MARGIN"": 0.18801643662054057, ""ESCAPE_MOVE_WEIGHT"": 99.09501969873942, ""ESCAPE_SPLIT_REACH_BUFFER"": 1.005413142028762, ""ESCAPE_VIRUS_SHIELD_WEIGHT"": 377.7857074070737, ""ESCAPE_WALL_WEIGHT"": 460.3558606416419, ""FOOD_CLUSTER_RADIUS"": 6.0105055914555905, ""FOOD_CLUSTER_WEIGHT"": 1.2023613554840635, ""FOOD_DISTANCE_POWER"": 1.0930678741919535, ""FOOD_LOCK_TICKS"": 29, ""MAX_ENEMIES"": 21, ""NUM_DIRECTIONS"": 12, ""ORDER_PROFILE"": ""escape_then_split"", ""ROAM_CENTER_WEIGHT"": 1.274080449001287, ""ROAM_MOMENTUM_WEIGHT"": 0.2970394687268898, ""SAFETY_OWN_PIECES"": 2, ""SPLIT_CAPTURE_WEIGHT"": 8.765422503359279, ""SPLIT_DEPTH_COST"": 0.7467938592677358, ""SPLIT_EXTERNAL_RISK_WEIGHT"": 2.4868132392731033, ""SPLIT_FRAGMENT_COST"": 0.02891190072620982, ""SPLIT_LARGER_OWNER_RATIO"": 0.9858803035712116, ""SPLIT_MIN_UTILITY"": -0.04837453306895778, ""SPLIT_PLAN_WAIT_TICKS"": 1, ""SPLIT_REACH_RELIABILITY"": 0.7024332167104221, ""STEP_RADIUS_MULT"": 1.6982952620205065, ""VIRUS_ENEMY_RANGE_MULT"": 4.936130626474765, ""VIRUS_MANUAL_SPLIT_RISK_COST"": 1.0993463403914516, ""VIRUS_MANUAL_SPLIT_TIME_BONUS"": 1.6970452150975521, ""VIRUS_MAX_FARM_MASS"": 80.76362788210218}"
