run,success,final_mass,rank,elapsed_seconds,return_code,error
1,True,0.8247633415933348,8,21.257444,0,
2,True,0.0,7,19.930026,0,
3,True,2.2587949961753875,5,19.212214,0,
4,True,1.0956266265381094,5,19.980498,0,
5,True,0.0,8,21.744865,0,
6,True,1.0413266303557327,5,20.148989,0,
7,True,0.8450010884374366,6,21.142689,0,
8,True,0.0,8,20.105342,0,
9,True,44.64738193800834,1,20.170455,0,
10,True,0.9761112865707018,6,21.292081,0,
11,True,58.0791680024102,1,20.114361,0,
12,True,7.643639619897418,4,21.029629,0,
13,True,1.5127853754940424,5,21.338044,0,
14,True,1.0229525940654431,8,20.227874,0,
15,True,2.5750169771013867,3,19.932781,0,
16,True,5.493626105510864,4,22.266771,0,
17,True,1.4986312846356402,7,20.131501,0,
18,True,1.1044822375195762,6,20.931519,0,
19,True,1.2784064636691777,6,21.168919,0,
20,True,1.4088863952056727,6,19.319264,0,
21,True,28.2424417103616,2,20.022505,0,
22,True,0.9415771821646858,7,22.519801,0,
23,True,1.468719374815975,4,21.240846,0,
24,True,1.718484137362912,6,20.204527,0,
25,True,1.1458214364068933,6,20.699247,0,
26,True,1.3310301706144656,7,21.130842,0,
27,True,0.8672907152014396,8,20.677737,0,
28,True,25.44792581773868,2,20.517537,0,
29,True,1.3507099447116337,7,20.285135,0,
30,True,22.64609688018491,2,20.311678,0,
31,True,55.37798647411987,1,20.272448,0,
32,True,1.8303891995148651,6,21.859508,0,
33,True,1.2466374969776859,7,21.188756,0,
34,True,1.7339943923821521,5,20.785378,0,
35,True,32.39050464131527,2,20.411167,0,
36,True,1.0211916397583884,5,20.740417,0,
37,True,7.209976789654493,2,20.038152,0,
38,True,2.3113453416983676,5,21.82753,0,
39,True,2.3079244699951564,3,20.184245,0,
40,True,0.8564626833683351,7,20.660324,0,
41,True,4.95333703123223,4,21.466785,0,
42,True,1.0347074578725517,7,20.361462,0,
43,True,21.44714205620549,2,20.125672,0,
44,True,0.880622074663919,7,21.097914,0,
45,True,49.44201208893039,1,20.521912,0,
46,True,2.262265620346115,5,20.58385,0,
47,True,29.315596934053673,2,23.601282,0,
48,True,0.9371941177680636,5,21.25525,0,
49,True,90.11124656694021,1,19.92247,0,
50,True,1.3268965338672831,6,20.361543,0,
51,True,0.0,7,21.124347,0,
