run,success,final_mass,rank,elapsed_seconds,return_code,error
1,True,0.0,8,20.314396,0,
2,True,56.49771538263076,1,22.008553,0,
3,True,1.1580968008463628,6,20.471926,0,
4,True,30.08179294175143,2,20.923039,0,
5,True,0.0,7,20.208004,0,
6,True,2.8032380855010315,2,19.779059,0,
7,True,0.8842840767873222,8,19.636211,0,
8,True,24.000936899599687,2,21.704824,0,
9,True,5.054045176206228,3,20.14638,0,
10,True,28.29119287575521,2,20.335287,0,
11,True,13.588773766845225,2,19.62869,0,
12,True,1.630638973435519,6,19.279842,0,
13,True,5.229049228239271,3,20.609182,0,
14,True,26.057547886655854,2,21.229816,0,
15,True,2.668798017003059,4,20.020596,0,
16,True,1.1205270875815492,6,20.367842,0,
17,True,1.1054436739157936,7,21.716755,0,
18,True,10.131001921721769,4,20.574458,0,
19,True,1.6318836442771616,5,20.822691,0,
20,True,0.81,7,21.697657,0,
21,True,109.76453041961481,1,20.512368,0,
22,True,1.7902908226912526,4,22.322154,0,
23,True,49.12939764504872,1,20.288278,0,
24,True,71.09147298727297,1,21.227255,0,
25,True,1.2348895263569513,6,21.230817,0,
26,True,0.81,8,20.331816,0,
27,True,2.1086001058536876,5,20.076179,0,
28,True,0.0,7,19.150147,0,
29,True,2.1206194868479686,4,21.236914,0,
30,True,1.0025055927371112,8,20.810987,0,
31,True,56.32923296220435,1,21.078605,0,
32,True,24.04839225939786,2,20.750633,0,
33,True,1.0361458192211537,8,20.418131,0,
34,True,0.81,7,20.541071,0,
35,True,4.030008920679744,4,20.140611,0,
36,True,1.8541027647118333,5,21.362519,0,
37,True,0.8780745520317641,8,21.118552,0,
38,True,11.887142246182963,3,20.917392,0,
39,True,2.04097396809069,3,21.42229,0,
40,True,2.897397947593631,5,18.512714,0,
41,True,1.4913747813432614,5,21.602633,0,
42,True,1.3346128863372957,7,19.823733,0,
43,True,1.1460646766363813,7,20.603888,0,
44,True,1.7802971502635105,5,20.649492,0,
45,True,55.51871639888345,1,21.182745,0,
46,True,2.50421822226618,6,21.48717,0,
47,True,2.073008000294307,6,20.685732,0,
48,True,0.8697536608047532,6,20.821661,0,
49,True,1.715596190765125,4,21.315105,0,
50,True,2.3317162595037892,6,20.739072,0,
